player_name,total_runs,total_matches,total_innings,total_not_outs,average,total_balls_faced,strike_rate,hundreds,fifties,fours,sixes
Andrew Symonds,974,39,36,9,45.12,750,131.74,1,5,74,41
Andrew Tye,91,27,13,4,9.46,76,90.22,0,0,6,5
Angelo Mathews,724,49,42,11,21.43,575,124.67,0,1,44,29
Angkrish Raghuvanshi,163,10,7,0,23.29,105,155.23,0,1,16,8
Aniket Choudhary,25,5,3,2,25,20,125,0,0,1,1
Anil Kumble,35,42,17,14,7.5,47,71.74,0,0,3,0
Anirudh Singh,63,5,4,0,15.75,66,95.45,0,0,6,1
Ankeet Chavan,12,10,3,1,6,11,85.42,0,0,2,0
Ankit Bawne,12,1,1,1,0,12,100,0,0,1,0
Ankit Rajpoot,24,19,6,1,5.55,35,69.42,0,0,2,1
Ankit Sharma,87,20,10,3,11,67,127.02,0,0,7,4
Ankit Soni,7,7,3,1,3.5,9,77.77,0,0,0,1
Anmolpreet Singh,139,9,9,0,12.81,115,106.41,0,0,19,3
Anrich Nortje,49,38,15,9,7.11,49,77.73,0,0,6,0
Anshul Kamboj,2,3,1,1,NULL,2,100,0,0,0,0
Anuj Rawat,318,24,21,5,17.74,267,91.19,0,1,26,14
Anukul Roy,26,8,5,3,11.5,22,110.53,0,0,3,0
Anureet Singh,36,18,8,4,7,47,86.02,0,0,2,1
Anustup Majumdar,87,4,4,0,21.75,76,114.47,0,0,7,2
Arindam Ghosh,7,2,2,0,3.5,8,87.5,0,0,1,0
Arjun Tendulkar,13,4,1,0,13,9,144.44,0,0,0,1
Arjun Yadav,49,8,6,1,9.8,39,125.64,0,0,5,2
Arshad Khan,101,10,7,3,25.25,69,136.85,0,1,6,6
Arshdeep Singh,29,62,12,7,2.75,40,74.48,0,0,4,0
Arshin Atul Kulkarni,9,2,2,0,4.5,8,112.5,0,0,2,0
Arun Karthik,51,16,8,3,5.72,51,85.13,0,0,4,1
Asad Pathan,39,8,7,2,7.13,23,145.98,0,0,5,2
Ashish Nehra,39,55,14,11,5.4,53,68.8,0,0,3,1
Ashish Reddy,280,31,24,9,19.35,193,145.47,0,0,16,15
Ashley Noffke,9,1,1,0,9,10,90,0,0,1,0
Ashok Dinda,26,54,15,7,3.42,42,61.97,0,0,2,0
Ashok Menaria,400,28,22,2,20,354,113.67,0,0,24,18
Ashton Turner,24,6,6,1,5.75,28,73.33,0,0,0,2
Ashutosh Sharma,189,11,9,2,27,113,167.25,0,1,10,15
Atharva Taide,247,9,9,0,28.54,168,150.3,0,2,27,8
Avesh Khan,41,46,9,8,7.33,24,167.31,0,0,3,3
Axar Patel,1653,150,113,36,21.35,1263,126.71,0,3,107,79
Ayush Badoni,634,42,35,9,24.44,473,133.21,0,4,46,24
Azhar Bilakhia,69,7,7,2,9.38,85,66.36,0,0,5,0
Azhar Mahmood,388,23,21,2,16.28,303,114.65,0,2,39,13
Azmatullah Omarzai,42,7,4,0,10.5,33,127.27,0,0,2,2
B Indrajith,21,3,3,0,7,30,70,0,0,2,0
B R Sharath,2,1,1,0,2,5,40,0,0,0,0
Balachandra Akhil,76,14,11,5,12.28,55,135.38,0,0,5,5
Barinder Sran,10,22,9,8,1,14,80.95,0,0,0,0
Basil Thampi,32,19,8,7,1,35,83.33,0,0,1,1
Ben Cutting,238,21,17,6,19.8,141,158.41,0,0,15,19
Ben Dunk,40,3,3,0,13.33,35,114.28,0,0,7,0
Ben Laughlin,5,9,4,2,2.5,13,34.72,0,0,0,0
Ben Rohrer,193,8,8,2,32.16,140,137.85,0,1,21,5
Ben Stokes,935,45,44,6,19.44,698,106.43,2,2,81,32
Beuran Hendricks,1,7,3,2,0,3,25,0,0,0,0
Bhanuka Rajapaksa,277,13,13,1,23.28,191,137.1,0,1,22,15
Bharat Chipli,280,23,21,6,15.22,251,96.94,0,1,28,7
Bhargav Bhatt,6,5,1,1,0,2,300,0,0,0,1
Bhuvneshwar Kumar,305,172,67,32,9.54,325,88.17,0,0,30,3
Billy Stanlake,5,4,1,1,0,2,250,0,0,1,0
Biplap Samantray,123,8,7,2,24.6,111,110.81,0,1,13,2
Bipul Sharma,187,32,17,9,17.42,123,132.12,0,0,11,9
Bodapati Sumanth,35,5,4,3,35,37,94.59,0,0,3,0
Brad Haddin,18,1,1,0,18,11,163.63,0,0,2,1
Brad Hodge,1400,66,63,21,30.15,1118,119.11,0,6,122,43
Brad Hogg,22,15,5,2,7.25,22,105.21,0,0,1,0
Brendon McCullum,2880,109,109,5,28.13,2186,131.69,2,13,293,130
Brett Lee,124,38,19,9,14.28,97,129.31,0,0,8,8
Callum Ferguson,98,9,8,2,18.25,117,84.12,0,0,9,0
Cameron Green,707,29,28,11,41.05,460,151.77,1,2,62,32
Cameron White,954,47,45,9,25.45,755,122.34,0,6,76,36
Carlos Brathwaite,181,16,14,1,12.58,111,141.17,0,0,10,16
Chamara Kapugedera,16,5,3,0,5.33,23,69.56,0,0,0,0
Chaminda Vaas,81,13,11,3,14.83,73,115.91,0,0,2,3
Chandan Madan,15,1,1,0,15,19,78.94,0,0,3,0
Charl Langeveldt,8,3,1,0,8,8,100,0,0,0,1
Chetan Sakariya,20,16,8,2,3.6,31,65.33,0,0,3,0
Chetanya Nanda,0,3,1,0,0,1,0,0,0,0,0
Cheteshwar Pujara,390,30,22,3,19.1,391,97.35,0,1,50,4
Chidhambaram Gautam,169,13,13,3,14.43,150,106.14,0,0,17,6
Chris Gayle,4965,142,141,16,38.5,3333,143.73,6,31,405,357
Chris Jordan,81,33,13,3,7.11,77,84.74,0,0,3,3
Chris Lynn,1329,42,42,3,31.72,945,127.07,0,10,132,66
Chris Morris,618,81,51,23,26.75,398,144.68,0,2,41,35
Chris Woakes,78,21,12,6,6.67,77,107.9,0,0,7,2
Clint McKay,8,2,1,0,8,15,53.33,0,0,0,0
Colin de Grandhomme,303,25,21,5,19.09,225,128.92,0,0,18,18
Colin Ingram,205,15,15,3,14.45,180,100.12,0,0,22,5
Colin Munro,177,13,12,0,14.53,141,124.55,0,0,19,8
Corey Anderson,538,30,29,7,23.35,423,114.16,0,3,40,31
D'Arcy Short,115,7,7,0,16.42,99,116.16,0,0,11,5
Dale Steyn,167,93,36,14,7.29,160,79.55,0,0,14,3
Damien Martyn,19,1,1,0,19,24,79.16,0,0,1,0
Dan Christian,460,49,41,10,13.4,398,96.78,0,0,23,19
Daniel Harris,111,4,4,0,27.75,101,109.9,0,0,11,5
Daniel Sams,44,16,13,4,3.81,44,68.52,0,0,1,3
Daniel Vettori,87,25,13,7,21.25,81,107.86,0,0,8,2
Darren Bravo,6,1,1,1,0,5,120,0,0,1,0
Darren Lehmann,18,2,2,0,9,18,100,0,0,3,0
Darren Sammy,295,22,20,5,16.97,241,107.57,0,1,15,18
Darshan Nalkande,12,3,1,0,12,11,109.09,0,0,0,1
Daryl Mitchell,351,15,15,2,22.71,267,108.8,0,2,28,10
